date,Open,High,Low,Close,Time
2014-10-23,17.55,17.55,17.55,17.55,17:00
2014-10-23,17.8,17.9,17.55,17.55,16:30
2014-10-23,17.9,17.9,17.7,17.7,16:00
2014-10-23,18.1,18.1,17.8,17.9,15:30
2014-10-23,18,18.1,18,18,15:00
2014-10-23,17.95,18,17.85,18,14:30
2014-10-23,17.85,17.95,17.85,17.95,14:00
2014-10-23,17.9,18,17.9,17.9,13:30
2014-10-23,17.55,17.9,17.55,17.9,13:00
2014-10-23,17.9,17.9,17.55,17.55,12:30
2014-10-23,17.9,18,17.9,17.9,12:00
2014-10-23,18.05,18.05,17.9,17.9,11:30
2014-10-23,18.5,18.5,18,18.05,11:00
2014-10-22,17.9,18.45,17.85,17.95,16:30
2014-10-22,18.15,18.2,18,18,16:00
2014-10-22,18.25,18.4,18.15,18.15,15:30
2014-10-22,18.15,18.3,18.1,18.1,15:00
2014-10-22,18.2,18.2,18.15,18.2,14:30
2014-10-22,18.3,18.3,18.2,18.2,14:00
2014-10-22,18.45,18.45,18.25,18.25,13:30
2014-10-22,18.5,18.6,18.45,18.45,13:00
2014-10-22,18.6,18.7,18.5,18.5,12:30
2014-10-22,18.75,18.75,18.65,18.65,12:00
2014-10-22,18.75,18.75,18.6,18.75,11:30
2014-10-22,18.5,18.7,18.45,18.7,11:00
